"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43"
"","","Population","Population","Population","Population","Répartition par âge en %","Répartition par âge en %","Répartition par âge en %","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Ménage","Ménage","Surface","Surface","Surface","Surface","Surface","Surface","Surface","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Economie 2)","Constructions et logements","Constructions et logements","Protection sociale","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)"
"","","2017","2010-2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2004/09","2004/09","1979/85-2004/09","2004/09","1979/85-2004/09","2004/09","2004/09","2016p","2016p","2016p","2016p","2016p","2016p","2016p","2016p","2018","2016","2017","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"Code commune","Commune","Habitants","Variation en %","Densité de la population par km²","Etrangers en %","0-19 ans","20-64 ans","65 ans ou plus","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés","Taille moyenne des ménages en personnes","Surface totale en km²","Surfaces d'habitat et d'infrastructure en %","Variation en ha","Surface agricole en %","Variation en ha","Surface boisée en %","Surface improductive en %","Emplois total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Etablissements total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Taux de logements vacants","Nouveaux logements construits pour 1000 habitants","Taux d'aide sociale","PLR 3)","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite"
"1","Aeugst am Albis","1941","6.414473684","245.3855879","12.72539928","19.62905719","62.49356002","17.87738279","5.104645227","2.041858091","5.104645227","3.573251659","811","2.381011097","7.9","12.5794155","21","51.33418043","-22","30.87674714","5.209656925","465","35","30","400","145","14","13","118","1.56774916","4.038364462","1.315123925","18.691659999199999","2.0764277822000001","18.645940488400001","30.929249057","3.4670629023999999","8.4352497428","2.6174419933999999","0.16763820630000001","7.0750942964999997","4.8881776964999997"
"2","Affoltern am Albis","12146","9.512217113","1146.931067","28.59377573","20.80520336","61.44409682","17.75069982","5.905348083","2.74473925","10.64626133","7.735174249","5182","2.265727518","10.53","30.75471698","94","40.09433962","-93","28.20754717","0.943396226","6633","53","1306","5274","969","24","134","811","1.470073504","10.16399043","3.3361344540000002","14.226623564200001","4.5853867581000003","19.0803141391","33.785785487399998","5.4648270465","7.3578595318","4.1642988234000002","0.19004853690000001","6.2110470370000002","1.7681966816000001"
"3","Bonstetten","5512","6.84241132","741.8573351","15.47532656","23.78447025","60.41364296","15.80188679","4.019366036","1.278889193","8.586827441","4.567461405","2299","2.388429752","7.44","15.5704698","24","55.43624161","-21","28.59060403","0.402684564","1020","27","124","869","278","13","30","235","1.053911634","9.012392039","1.1591536339999999","16.4726356217","3.3785405664999999","20.403264522299999","29.100156025","3.1430028805000001","11.862397983699999","3.8031084973999998","0.1125180029","6.6610657704999996","1.9158065289999999"
"4","Hausen am Albis","3664","9.047619048","269.4117647","15.14737991","22.65283843","60.12554585","17.22161572","4.422944022","1.382170007","7.463718037","5.528680028","1521","2.393819855","13.63","12.64619883","33","55.7748538","-31","29.02046784","2.558479532","1126","109","147","870","272","39","37","196","1.677270098","8.915731953","1.2041444969999999","12.793652208799999","2.8819150359000001","19.3933045068","34.937369054500003","2.5698747381000002","8.7482726340999992","4.6560870146999997","0.1939107565","8.0216645120999992","1.825435742"
"5","Hedingen","3694","8.328445748","565.6967841","15.24093124","22.38765566","61.58635625","16.02598809","4.3354559","1.896761956","8.399945807","5.419319875","1518","2.424242424","6.56","19.90811639","44","46.24808576","-43","33.23124043","0.612557427","1511","29","707","775","193","11","24","158","2.595797281","0","1.817195552","15.805826809799999","3.9181664111000001","22.478008231800001","30.114599305900001","3.5892986845000001","9.6259381809000004","3.7688644984000002","0.22798805580000001","6.4663868937000002","1.8400451941"
"6","Kappel am Albis","1125","22.54901961","142.0454545","18.4","25.95555556","60.71111111","13.33333333","5.369127517","1.789709172","8.948545861","8.948545861","461","2.42516269","7.82","8.301404853","12","69.98722861","-12","20.56194125","1.149425287","322","64","82","176","101","21","22","58","4.158415842","25.16940949","0.90090090099999998","10.952541800400001","2.7444688397000001","10.2854247593","48.6150988009","6.6036142543","5.6240499915999997","5.1342678601999996","0.31244722180000001","4.3827056239999997","2.7698023982"
"7","Knonau","2305","28.05555556","356.25966","17.61388286","23.81778742","61.34490239","14.8373102","3.129890454","0.447127208","9.389671362","4.918399285","904","2.53539823","6.49","17.97235023","19","62.21198157","-21","17.20430108","2.611367128","513","62","104","347","125","25","14","86","1.888667992","42.44158321","0.78413284100000002","11.456580276","3.1260518344000001","18.436553349","32.876135981200001","6.1679569168999997","10.4215752272","5.9449680241999996","8.4146751999999991E-3","5.8019185458999996","3.4373948165999999"
